Format=7,XI-011844,,,Right Foot,,,,,,,,,,,XI-011908,,,TRIGGER,,,,,,,,,,,XI-011987,,,Lumbar,,,,,,,,,,,XI-012007,,,Left Foot,,,,,,,,,,
Time,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,,Accelerometer,,,Gyroscope,,,Magnetometer,,,Barometer,Orientation,,,
,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,,S,X,Y,Z
1668006744595312,-2.673826,-1.578287,2.692253,-0.455423,-3.345583,0.565729,-25.866354,18.131595,-40.327231,,0.888783,-0.154663,-0.256249,-0.347103,2.975278,1.727045,9.073444,-0.222410,-0.725413,-0.803198,-27.437797,-27.842157,-26.897385,,0.416496,0.173325,0.035214,0.891767,-8.635812,0.599377,-0.055914,0.462826,-0.322322,0.183277,43.783303,-27.059700,20.361932,,0.664592,-0.239951,0.637963,0.306178,-6.149709,-1.662974,7.389073,0.132002,0.078105,0.165188,-10.211706,29.877845,-64.332973,,0.161185,0.314244,0.154437,-0.922724
1668006744603125,-5.323526,-2.298587,2.348553,-0.457423,-3.079873,0.392069,-26.441154,18.633095,-38.214431,,0.881716,-0.165469,-0.262882,-0.355092,3.232478,1.528145,9.414344,-0.283640,-0.660333,-0.648798,-27.582297,-27.918357,-26.723585,,0.417468,0.174029,0.034681,0.891197,-8.533512,0.683077,-0.143114,0.469576,-0.311582,0.140137,43.833403,-27.080200,20.248432,,0.664923,-0.239027,0.638068,0.305963,-6.167509,-1.627874,7.373273,0.130382,0.085275,0.164118,-10.156606,29.788045,-64.328673,,0.161726,0.314751,0.153715,-0.922577
1668006744610937,-8.181626,-2.575787,1.883953,-0.377183,-2.841193,0.118029,-26.699454,18.991795,-36.199431,,0.873675,-0.176086,-0.267188,-0.366465,3.095578,1.155445,9.549944,-0.345640,-0.609593,-0.431108,-27.448697,-27.916957,-26.617885,,0.418203,0.174712,0.033480,0.890764,-8.473612,0.765677,-0.117914,0.472636,-0.292252,0.097417,43.762803,-26.946200,20.178832,,0.665253,-0.238159,0.638217,0.305610,-6.106509,-1.635774,7.390573,0.132452,0.094575,0.163808,-10.126306,29.725045,-64.355373,,0.162253,0.315294,0.152991,-0.922420
1668006744618750,-10.747426,-2.297987,1.312053,-0.285223,-2.641913,-0.200381,-26.776454,19.217195,-34.439431,,0.864283,-0.186606,-0.269075,-0.381826,2.954178,1.260645,9.689744,-0.388630,-0.531683,-0.178868,-27.608897,-27.876857,-26.456285,,0.418355,0.175200,0.031758,0.890660,-8.482412,0.816177,-0.062714,0.478896,-0.262942,0.050717,43.755503,-26.791100,20.178832,,0.665588,-0.237326,0.638439,0.305065,-6.101709,-1.635774,7.426473,0.133962,0.104885,0.166008,-10.040806,29.694745,-64.418473,,0.162780,0.315864,0.152269,-0.922251
1668006744626562,-13.116626,-1.688587,0.673453,-0.253803,-2.420173,-0.503831,-26.712654,19.355295,-32.763331,,0.852938,-0.197363,-0.268120,-0.402064,2.960878,1.593645,9.780544,-0.414770,-0.488223,-0.071878,-27.684797,-27.637557,-26.380185,,0.418291,0.175573,0.029741,0.890686,-8.488812,0.807377,-0.071514,0.471806,-0.216182,0.008207,43.795503,-26.698100,20.178832,,0.665867,-0.236592,0.638749,0.304377,-6.199309,-1.588174,7.442973,0.137482,0.112975,0.170658,-9.955406,29.635245,-64.448773,,0.163310,0.316454,0.151539,-0.922076
1668006744634375,-15.531126,-1.138187,0.047053,-0.288393,-2.154253,-0.751941,-26.533254,19.405095,-31.331931,,0.838909,-0.208643,-0.263789,-0.427919,3.016578,1.641345,9.918844,-0.425960,-0.504203,-0.089528,-27.770497,-27.628257,-26.369585,,0.418446,0.176053,0.027566,0.890588,-8.499312,0.816177,-0.115714,0.454456,-0.162372,-0.028923,43.800203,-26.555000,20.125832,,0.666053,-0.236003,0.639149,0.303587,-6.284009,-1.449574,7.476073,0.137342,0.119075,0.171458,-9.839606,29.597045,-64.503873,,0.163843,0.317062,0.150815,-0.921891
1668006744642187,-17.523626,-0.859287,-0.708647,-0.354433,-1.875763,-0.911661,-26.333354,19.357195,-30.134831,,0.821197,-0.220662,-0.255542,-0.460045,3.023478,1.597645,10.064444,-0.426380,-0.480553,-0.065028,-27.768997,-27.532157,-26.273185,,0.418630,0.176513,0.025338,0.890477,-8.629612,0.799877,-0.141814,0.437626,-0.116242,-0.063253,43.754803,-26.429500,20.146332,,0.666161,-0.235546,0.639623,0.302703,-6.345009,-1.329074,7.503273,0.130042,0.126555,0.161338,-9.703306,29.507345,-64.564473,,0.164348,0.317692,0.150123,-0.921697
1668006744650000,-18.229426,-0.455387,-1.631147,-0.442883,-1.584123,-0.948921,-26.085354,19.271695,-29.139931,,0.798653,-0.233488,-0.242796,-0.498685,2.989478,1.688645,10.004744,-0.448910,-0.422953,-0.016218,-27.853097,-27.349057,-26.187785,,0.418678,0.176781,0.023049,0.890464,-8.832512,0.690477,-0.131314,0.419616,-0.070612,-0.093053,43.726903,-26.339400,20.125832,,0.666176,-0.235250,0.640162,0.301762,-6.380109,-1.264474,7.508373,0.117222,0.135545,0.147138,-9.625806,29.444245,-64.709473,,0.164820,0.318349,0.149478,-0.921491
1668006744657812,-18.051826,0.139113,-2.355247,-0.576673,-1.218163,-0.881361,-25.796954,19.298995,-28.301231,,0.770165,-0.246760,-0.224969,-0.543455,2.990578,1.735845,9.963944,-0.478510,-0.383083,0.016742,-27.918297,-27.165957,-26.111585,,0.418639,0.176901,0.020687,0.890516,-9.047612,0.513677,-0.144814,0.392446,-0.021882,-0.120163,43.673903,-26.193400,20.093432,,0.666082,-0.235147,0.640757,0.300784,-6.359309,-1.250274,7.514673,0.103652,0.146155,0.133188,-9.570606,29.413945,-64.737873,,0.165278,0.319033,0.148893,-0.921267
1668006744665625,-18.025726,0.355913,-2.718547,-0.743813,-0.766443,-0.728331,-25.458854,19.171195,-27.608231,,0.734967,-0.259545,-0.201789,-0.593077,3.099078,1.851545,9.990944,-0.487080,-0.343143,0.008522,-27.936997,-26.993457,-26.111585,,0.418651,0.176903,0.018367,0.890561,-9.259812,0.424377,-0.219214,0.353106,0.014678,-0.139583,43.596103,-26.010300,20.146332,,0.665904,-0.235235,0.641371,0.299800,-6.335609,-1.255774,7.509073,0.088702,0.157735,0.119048,-9.475406,29.389045,-64.709473,,0.165726,0.319742,0.148381,-0.921023
